id,name,weeks,house,year,active
1,Tuesday Nite Life,36,AMF Union Hills,2018,False
2,Tuesday Nite Life,36,AMF Union Hills,2019,False
3,Tuesday Nite Life,36,AMF Union Hills,2020,False
4,Tuesday Nite Life,36,AMF Union Hills,2021,True
5,Mega Cash Trio,15,Avondale,2019,False
6,Monday Vegas Baby,36,Uptown Alley,2019,False
7,Monday Vegas Baby,36,Uptown Alley,2020,False
8,Thursday Vegas Baby,36,Uptown Alley,2021,True
